stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
MARS2243133,43133,du Souvenir / Chomedey,-73.74651,45.551118,0,1,1,1
MARS2243134,43134,du Souvenir / face au 3475,-73.74701,45.551225,0,0,1,0
MARS2243135,43135,du Souvenir / Chomedey,-73.74499,45.551861,0,0,1,0
MARS2243136,43136,du Souvenir / Chomedey,-73.74525,45.552112,0,0,1,0
MARS2243137,43137,du Souvenir / Face à Laval Senior,-73.74309,45.553141,0,0,1,1
MARS2243138,43138,du Souvenir / Carmel,-73.77605,45.535015,0,0,2,0
MARS2243139,43139,du Souvenir / Face à Laval Senior,-73.7438,45.55304,0,0,1,1
MARS2243140,43140,du Souvenir / Daniel-Johnson,-73.74078,45.554846,0,0,1,0
MARS22CP43142,43142,du Souvenir / Armand-Frappier,-73.73616,45.555675,0,0,2,1
MARS22CP43143,43143,du Souvenir / Armand-Frappier,-73.73601,45.55608,0,0,2,0
MARS2243144,43144,du Souvenir / Centre Laval,-73.72883,45.559496,0,0,1,1
MARS2243145,43145,du Souvenir / Centre Laval,-73.72985,45.559314,0,0,1,1
MARS2243146,43146,du Souvenir / Le Corbusier,-73.72619,45.560952,0,0,1,1
MARS2243147,43147,du Souvenir / Lucien-Paiement,-73.72529,45.560919,0,0,1,1
MARS2243148,43148,du Souvenir / de l'Avenir,-73.72297,45.561631,0,1,1,1
MARS2243149,43149,du Souvenir / face au cégep Montmorency,-73.72037,45.562446,0,0,1,1
MARS2243150,43150,du Souvenir / Châtelaine,-73.77508,45.535495,0,0,1,0
MARS2243152,43152,du Souvenir / face au 1583,-73.72072,45.562653,0,0,1,0
MARS2243155,43155,du Souvenir / 11e Avenue,-73.7045,45.569728,0,0,1,0
MARS2243156,43156,du Souvenir / Châtelaine,-73.77482,45.535765,0,0,1,0
MARS2243157,43157,du Souvenir / Melville,-73.77226,45.53686,0,0,1,1
MARS2243158,43158,du Souvenir / Bertin,-73.77215,45.537104,0,0,1,0
MARS2243159,43159,du Souvenir / d'Effingham,-73.77048,45.537899,0,0,1,0
MARS2243160,43160,de Sillery / de Bastogne,-73.7171,45.577975,0,0,2,0
MARS2243161,43161,voie de service Saint-Martin / de Sillery,-73.71489,45.575396,0,0,1,0
MARS2243162,43162,Saint-Elzéar / face au 135,-73.73458,45.597196,0,0,2,0
MARS2243163,43163,des Terrasses / Beaujon,-73.76367,45.635996,0,0,2,0
MARS2243164,43164,des Terrasses / du Parc-des-Érables,-73.76674,45.633794,0,0,2,0
MARS2243165,43165,des Terrasses / Brossard,-73.75666,45.642734,0,0,2,0
MARS2243166,43166,des Terrasses / du Val-des-Bois,-73.75801,45.641606,0,0,2,0
MARS2243167,43167,des Terrasses / du Val-des-Bois,-73.75807,45.641309,0,0,2,0
MARS2243168,43168,des Terrasses / Sellier,-73.75879,45.640642,0,0,2,0
MARS2243169,43169,des Terrasses / Sellier,-73.7588,45.640465,0,0,2,0
MARS2243170,43170,des Terrasses / Sanscartier,-73.76202,45.637368,0,0,2,0
MARS2243171,43171,des Terrasses / Sanscartier,-73.76211,45.637125,0,0,2,0
MARS2243172,43172,des Terrasses / Beaujon,-73.76372,45.636095,0,0,2,0
MARS2243180,43180,Thibault / d'Amay,-73.75314,45.620687,0,0,2,0
MARS22CP43181,43181,Thibault / des Laurentides,-73.74887,45.62291,0,0,2,0
MARS22CP43182,43182,Thibault / des Laurentides,-73.74837,45.623001,0,0,1,0
MARS2243183,43183,Thibault / d'Amay,-73.75303,45.620921,0,0,1,0
MARS2243184,43184,Thibault / Olivier-Chauveau,-73.75485,45.620647,0,0,1,0
MARS2243185,43185,de Touraine / de Bois-de-Boulogne,-73.70726,45.573827,0,0,2,0
MARS2243187,43187,de Touraine / de Chablis,-73.70971,45.575577,0,0,2,0
MARS2243188,43188,de Touraine / de Chablis,-73.70999,45.575603,0,0,1,0
MARS2243190,43190,de Touraine / de Bois-de-Boulogne,-73.70672,45.573909,0,0,2,0
MARS2243191,43191,Tourangeau / Goineau,-73.68042,45.568626,0,0,2,0
MARS2243192,43192,Tourangeau / Léger,-73.67739,45.570143,0,0,1,0
MARS2243193,43193,Tourangeau / Léger,-73.67728,45.570368,0,0,2,0
MARS2243194,43194,Tourangeau / des Alpes,-73.67564,45.571018,0,0,2,0
MARS2243195,43195,Tourangeau / des Alpes,-73.67609,45.571018,0,0,2,1
MARS2243196,43196,Tourangeau / Saint-Hubert,-73.68531,45.565793,0,0,1,0
MARS2243197,43197,Tourangeau / Saint-Hubert,-73.68524,45.565991,0,0,2,0
MARS2243198,43198,Tourangeau / Lahaie,-73.68417,45.566416,0,0,2,0
MARS2243199,43199,Tourangeau / Lahaie,-73.68412,45.566623,0,0,2,0
MARS22CP43200,43200,Tourangeau / Cousineau,-73.68237,45.567399,0,0,2,0
MARS22CP43201,43201,Tourangeau / Cousineau,-73.68227,45.567633,0,0,1,1
MARS2243202,43202,Tourangeau / Goineau,-73.68055,45.568383,0,0,1,0
MARS2243203,43203,Tracy / d'Artois,-73.67564,45.595782,0,0,2,0
MARS2243204,43204,Tracy / de Blois,-73.67775,45.594815,0,0,2,1
MARS22CP43205,43205,Tracy / Lesage,-73.66517,45.601502,0,0,2,0
MARS2243206,43206,Tracy / Plante,-73.66785,45.600229,0,0,2,0
MARS2243207,43207,Tracy / Plante,-73.66791,45.600013,0,0,2,0
MARS2243208,43208,Tracy / D'Auteuil,-73.67075,45.598632,0,0,2,0
MARS2243209,43209,Tracy / D'Auteuil,-73.67091,45.598371,0,0,2,0
MARS2243210,43210,Tracy / de Callières,-73.67318,45.597297,0,0,2,0
MARS2243211,43211,Tracy / de Callières,-73.67327,45.597081,0,0,2,0
MARS2243212,43212,Tracy / d'Artois,-73.67558,45.595989,0,0,2,0
MARS2243218,43218,de Val-Brillant / Jolibourg,-73.85782,45.52768,0,0,2,1
MARS2243219,43219,de Val-Brillant / de l'Anse-au-Griffon,-73.85934,45.526964,0,0,2,0
MARS2243220,43220,de Val-Brillant / de l'Anse-au-Griffon,-73.85943,45.526766,0,0,2,0
MARS2243221,43221,de Val-Brillant / face au parc Jolibourg,-73.85997,45.525261,0,0,2,0
MARS2243222,43222,de Val-Brillant / face au parc Jolibourg,-73.85933,45.525227,0,0,2,0
MARS2243223,43223,de Val-Brillant / de Fontenelle,-73.85814,45.524079,0,0,2,0
MARS2243224,43224,de Val-Brillant / de Fontenelle,-73.85794,45.524098,0,0,2,0
MARS2243226,43226,Vallières / Renaud,-73.71272,45.582104,0,0,2,0
MARS2243227,43227,Vallières / de Sillery,-73.7126,45.580107,0,0,2,0
MARS22CP43228,43228,Vallières / de Verviers,-73.71084,45.57867,0,0,1,1
MARS2243229,43229,Vallières / de Villars,-73.72007,45.587903,0,0,1,0
MARS2243230,43230,Vallières / Voltaire,-73.7183,45.586364,0,0,1,0
MARS2243231,43231,Vallières / de Valognes,-73.71635,45.585904,0,0,1,0
MARS2243232,43232,Vallières / Richard,-73.71427,45.58463,0,0,2,0
MARS2243233,43233,Vanier / de la Fabrique,-73.65742,45.609036,0,0,2,0
MARS2243234,43234,Vanier / Dyonnet,-73.65262,45.605029,0,0,1,1
MARS2243235,43235,Vanier / Liébert,-73.65749,45.611123,0,0,1,0
MARS2243236,43236,Vanier / Jean-XXIII,-73.65745,45.611969,0,0,1,0
