route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_headsign,route_color,route_text_color
MARS2236O,STL,36,Chomedey,3,https://www.stlaval.ca/reseau/horaires-autobus/route/36O,CHOMEDEY,151f6d,FFFFFF
MARS22360N,STL,360,Chomedey,3,https://www.stlaval.ca/reseau/horaires-autobus/route/360N,CHOMEDEY,151f6d,FFFFFF
MARS2237N,STL,37,Sainte-Rose,3,https://www.stlaval.ca/reseau/horaires-autobus/route/37N,STE-ROSE,151f6d,FFFFFF
MARS2237S,STL,37,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/37S,CARTIER,151f6d,FFFFFF
MARS2239N,STL,39,Auteuil,3,https://www.stlaval.ca/reseau/horaires-autobus/route/39N,AUTEUIL,151f6d,FFFFFF
MARS2239S,STL,39,Terminus Le Carrefour,3,https://www.stlaval.ca/reseau/horaires-autobus/route/39S,CARREFOUR,151f6d,FFFFFF
MARS2240E,STL,40,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/40E,MONTMORENCY,151f6d,FFFFFF
MARS2240O,STL,40,Chomedey,3,https://www.stlaval.ca/reseau/horaires-autobus/route/40O,CHOMEDEY,151f6d,FFFFFF
MARS2241N,STL,41,Auteuil,3,https://www.stlaval.ca/reseau/horaires-autobus/route/41N,AUTEUIL,151f6d,FFFFFF
MARS2241S,STL,41,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/41S,CARTIER,151f6d,FFFFFF
MARS2242E,STL,42,Saint-François,3,https://www.stlaval.ca/reseau/horaires-autobus/route/42E,ST-FRANCOIS,151f6d,FFFFFF
MARS2242O,STL,42,Terminus Le Carrefour,3,https://www.stlaval.ca/reseau/horaires-autobus/route/42O,CARREFOUR,151f6d,FFFFFF
MARS2243N,STL,43,Auteuil,3,https://www.stlaval.ca/reseau/horaires-autobus/route/43N,AUTEUIL,151f6d,FFFFFF
MARS2243S,STL,43,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/43S,CARTIER,151f6d,FFFFFF
MARS2245N,STL,45,Auteuil,3,https://www.stlaval.ca/reseau/horaires-autobus/route/45N,AUTEUIL,151f6d,FFFFFF
MARS2245S,STL,45,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/45S,MONTMORENCY,151f6d,FFFFFF
MARS2246N,STL,46,Laval-Ouest,3,https://www.stlaval.ca/reseau/horaires-autobus/route/46N,LAVAL-OUEST,151f6d,FFFFFF
MARS2246S,STL,46,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/46S,MONTMORENCY,151f6d,FFFFFF
MARS2248E,STL,48,Duvernay,3,https://www.stlaval.ca/reseau/horaires-autobus/route/48E,DUVERNAY,151f6d,FFFFFF
MARS2248O,STL,48,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/48O,CARTIER,151f6d,FFFFFF
MARS2250E,STL,50,Saint-Vincent-De-Paul,3,https://www.stlaval.ca/reseau/horaires-autobus/route/50E,ST-VCT-PAUL,151f6d,FFFFFF
MARS2250O,STL,50,Terminus Le Carrefour,3,https://www.stlaval.ca/reseau/horaires-autobus/route/50O,CARREFOUR,151f6d,FFFFFF
MARS2252E,STL,52,Saint-François,3,https://www.stlaval.ca/reseau/horaires-autobus/route/52E,ST-FRANCOIS,151f6d,FFFFFF
MARS2252O,STL,52,Métro Henri-Bourassa,3,https://www.stlaval.ca/reseau/horaires-autobus/route/52O,H-BOURASSA,151f6d,FFFFFF
MARS2255N,STL,55,Laval-Ouest,3,https://www.stlaval.ca/reseau/horaires-autobus/route/55N,LAVAL-OUEST,151f6d,FFFFFF
MARS2255S,STL,55,Métro Henri-Bourassa,3,https://www.stlaval.ca/reseau/horaires-autobus/route/55S,H-BOURASSA,151f6d,FFFFFF
MARS2256E,STL,56,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/56E,MONTMORENCY,151f6d,FFFFFF
