route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
323,LR-H22-LR_GTFS-Fête-2-03,3287141-LR-H22-LR_GTFS-Fête-2-03,Candiac,0,3230054,34,0,0
321,LR-A21-LR_GTFS-Fête-2-02,3287142-LR-A21-LR_GTFS-Fête-2-02,La Prairie,0,3210036,36,0,0
321,LR-H22-LR_GTFS-Semaine-02,3287142-LR-H22-LR_GTFS-Semaine-02,La Prairie,0,3210043,42,0,0
321,LR-H22-LR_GTFS-Fête-2-03,3287142-LR-H22-LR_GTFS-Fête-2-03,La Prairie,0,3210043,36,0,0
29,LR-A21-LR_GTFS-Fête-2-02,3287143-LR-A21-LR_GTFS-Fête-2-02,La Prairie,0,290024,11,0,0
29,LR-H22-LR_GTFS-Semaine-02,3287143-LR-H22-LR_GTFS-Semaine-02,La Prairie,0,290026,21,0,0
29,LR-H22-LR_GTFS-Fête-2-03,3287143-LR-H22-LR_GTFS-Fête-2-03,La Prairie,0,290026,21,0,0
323,LR-A21-LR_GTFS-Fête-2-02,3287144-LR-A21-LR_GTFS-Fête-2-02,Terminus Centre-Ville,1,3230043,47,0,0
323,LR-H22-LR_GTFS-Semaine-02,3287144-LR-H22-LR_GTFS-Semaine-02,Terminus Centre-Ville,1,3230055,56,0,0
323,LR-H22-LR_GTFS-Fête-2-03,3287144-LR-H22-LR_GTFS-Fête-2-03,Terminus Centre-Ville,1,3230055,47,0,0
321,LR-A21-LR_GTFS-Fête-2-02,3287145-LR-A21-LR_GTFS-Fête-2-02,Terminus Centre-Ville,1,3210035,49,0,0
321,LR-H22-LR_GTFS-Semaine-02,3287145-LR-H22-LR_GTFS-Semaine-02,Terminus Centre-Ville,1,3210042,57,0,0
321,LR-H22-LR_GTFS-Fête-2-03,3287145-LR-H22-LR_GTFS-Fête-2-03,Terminus Centre-Ville,1,3210042,49,0,0
28,LR-A21-LR_GTFS-Fête-2-02,3287146-LR-A21-LR_GTFS-Fête-2-02,La Prairie,0,280130,11,0,0
28,LR-H22-LR_GTFS-Semaine-02,3287146-LR-H22-LR_GTFS-Semaine-02,La Prairie,0,280130,21,0,0
28,LR-H22-LR_GTFS-Fête-2-03,3287146-LR-H22-LR_GTFS-Fête-2-03,La Prairie,0,280130,21,0,0
38,LR-A21-LR_GTFS-Fête-2-02,3287147-LR-A21-LR_GTFS-Fête-2-02,Auteuil – Deauville – Barcelone,0,380033,11,0,0
38,LR-H22-LR_GTFS-Semaine-02,3287147-LR-H22-LR_GTFS-Semaine-02,Auteuil – Deauville – Barcelone,0,380033,21,0,0
38,LR-H22-LR_GTFS-Fête-2-03,3287147-LR-H22-LR_GTFS-Fête-2-03,Auteuil – Deauville – Barcelone,0,380033,21,0,0
39,LR-A21-LR_GTFS-Fête-2-02,3287148-LR-A21-LR_GTFS-Fête-2-02,St-José – St-F-X – Fouquet - Haendel,0,390006,11,0,0
39,LR-H22-LR_GTFS-Semaine-02,3287148-LR-H22-LR_GTFS-Semaine-02,St-José – St-F-X – Fouquet - Haendel,0,390006,21,0,0
39,LR-H22-LR_GTFS-Fête-2-03,3287148-LR-H22-LR_GTFS-Fête-2-03,St-José – St-F-X – Fouquet - Haendel,0,390006,21,0,0
323,LR-A21-LR_GTFS-Fête-2-02,3287149-LR-A21-LR_GTFS-Fête-2-02,Candiac,0,3230047,36,0,0
323,LR-H22-LR_GTFS-Semaine-02,3287149-LR-H22-LR_GTFS-Semaine-02,Candiac,0,3230051,41,0,0
323,LR-H22-LR_GTFS-Fête-2-03,3287149-LR-H22-LR_GTFS-Fête-2-03,Candiac,0,3230051,36,0,0
321,LR-A21-LR_GTFS-Fête-2-02,3287150-LR-A21-LR_GTFS-Fête-2-02,La Prairie,0,3210037,38,0,0
321,LR-H22-LR_GTFS-Semaine-02,3287150-LR-H22-LR_GTFS-Semaine-02,La Prairie,0,3210041,44,0,0
321,LR-H22-LR_GTFS-Fête-2-03,3287150-LR-H22-LR_GTFS-Fête-2-03,La Prairie,0,3210041,38,0,0
