service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LR-A21-LR_GTFS-Fête-2-02,0,0,0,0,0,0,0,20220104,20220109
LR-A21-LR_GTFS-Samedi-02,0,0,0,0,0,1,0,20220104,20220109
LR-A21-LR_GTFS-Dimanche-02,0,0,0,0,0,0,1,20220104,20220109
LR-H22-LR_GTFS-Semaine-02,1,1,1,1,1,0,0,20220110,20220529
LR-H22-LR_GTFS-Samedi-03,0,0,0,0,0,1,0,20220110,20220529
LR-H22-LR_GTFS-Dimanche-04,0,0,0,0,0,0,1,20220110,20220529
LR-H22-LR_GTFS-Fête-1-02,0,0,0,0,0,0,0,20220110,20220529
LR-H22-LR_GTFS-Fête-2-03,0,0,0,0,0,0,0,20220110,20220529
