service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CN-A21-TM_GTFS-Semaine-01,1,1,1,1,1,0,0,20211209,20220109
CN-A21-TM_GTFS-Week-end-01,0,0,0,0,0,1,1,20211209,20220109
CN-A21-TM_GTFS-Week-end-01-0000010,0,0,0,0,0,1,0,20211209,20220109
CN-A21-TM_GTFS-Fête-2-01,0,0,0,0,0,0,0,20211209,20220109
CN-H22-TM_GTFS-Semaine-01,1,1,1,1,1,0,0,20220110,20220529
CN-H22-TM_GTFS-Week-end-01,0,0,0,0,0,1,1,20220110,20220529
CN-H22-TM_GTFS-Week-end-01-0000010,0,0,0,0,0,1,0,20220110,20220529
CN-H22-TM_GTFS-Fête-1-01,0,0,0,0,0,0,0,20220110,20220529
CN-H22-TM_GTFS-Fête-2-01,0,0,0,0,0,0,0,20220110,20220529
