service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
VR-A21-VR_GTFS-Semaine-04,1,1,1,1,1,0,0,20211215,20220109
VR-A21-VR_GTFS-Samedi-01,0,0,0,0,0,1,0,20211215,20220109
VR-A21-VR_GTFS-Dimanche-01,0,0,0,0,0,0,1,20211215,20220109
VR-A21-VR_GTFS-Fête-2-03,0,0,0,0,0,0,0,20211215,20220109
VR-H22-VR_GTFS-Semaine-02,1,1,1,1,1,0,0,20220110,20220529
VR-H22-VR_GTFS-Samedi-01,0,0,0,0,0,1,0,20220110,20220529
VR-H22-VR_GTFS-Dimanche-01,0,0,0,0,0,0,1,20220110,20220529
VR-H22-VR_GTFS-Fête-1-01,0,0,0,0,0,0,0,20220110,20220529
VR-H22-VR_GTFS-Fête-2-02,0,0,0,0,0,0,0,20220110,20220529
