service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
PI-A21-PI_GTFS-Semaine-05,1,1,1,1,1,0,0,20211213,20220109
PI-A21-PI_GTFS-Samedi-01,0,0,0,0,0,1,0,20211213,20220109
PI-A21-PI_GTFS-Dimanche-01,0,0,0,0,0,0,1,20211213,20220109
PI-A21-PI_GTFS-Fête-2-04,0,0,0,0,0,0,0,20211213,20220109
PI-H22-PI_GTFS-Semaine-01,1,1,1,1,1,0,0,20220110,20220529
PI-H22-PI_GTFS-Samedi-01,0,0,0,0,0,1,0,20220110,20220529
PI-H22-PI_GTFS-Dimanche-01,0,0,0,0,0,0,1,20220110,20220529
PI-H22-PI_GTFS-Fête-1-01,0,0,0,0,0,0,0,20220110,20220529
PI-H22-PI_GTFS-Fête-2-01,0,0,0,0,0,0,0,20220110,20220529
