service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RS-A21-ROUS_GTF-Semaine-07,1,1,1,1,1,0,0,20211208,20220109
RS-A21-ROUS_GTF-Samedi-02,0,0,0,0,0,1,0,20211208,20220109
RS-A21-ROUS_GTF-Dimanche-02,0,0,0,0,0,0,1,20211208,20220109
RS-A21-ROUS_GTF-Fête-2-03,0,0,0,0,0,0,0,20211208,20220109
RS-H22-ROUS_GTF-Semaine-02,1,1,1,1,1,0,0,20220110,20220529
RS-H22-ROUS_GTF-Samedi-04,0,0,0,0,0,1,0,20220110,20220529
RS-H22-ROUS_GTF-Dimanche-04,0,0,0,0,0,0,1,20220110,20220529
RS-H22-ROUS_GTF-Fête-1-02,0,0,0,0,0,0,0,20220110,20220529
RS-H22-ROUS_GTF-Fête-2-02,0,0,0,0,0,0,0,20220110,20220529
