service_id,date,exception_type
CRC-A21-CRC_GTFS-Fête-2-02,20220104,1
CRC-A21-CRC_GTFS-Fête-2-02,20220105,1
CRC-A21-CRC_GTFS-Fête-2-02,20220106,1
CRC-A21-CRC_GTFS-Fête-2-02,20220107,1
CRC-H22-CRC_GTFS-Semaine-02,20220415,2
CRC-H22-CRC_GTFS-Semaine-02,20220418,2
CRC-H22-CRC_GTFS-Semaine-02,20220523,2
CRC-H22-CRC_GTFS-Fête-1-02,20220415,1
CRC-H22-CRC_GTFS-Fête-1-02,20220523,1
CRC-H22-CRC_GTFS-Fête-2-02,20220418,1
